shipment_id,distance_km,hours_to_deadline,origin_rain_mm,origin_storm,congestion_index,carrier_reliability,delay_prob
SHP-1125,935.36,50.1,46.2,0,0.43,0.77,0.457
SHP-1126,1312.89,65.6,41.3,0,0.06,0.89,0.396
SHP-1127,1210.34,59.7,46.1,1,0.12,0.84,0.522
SHP-1128,1414.48,68.0,25.0,1,0.44,0.79,0.542
SHP-1129,1784.37,53.4,30.2,0,0.09,0.97,0.412
SHP-1130,1680.12,42.3,47.5,1,0.58,0.87,0.684
SHP-1131,391.62,38.3,22.1,1,0.18,0.79,0.325
SHP-1132,1287.83,36.4,4.6,0,0.35,0.66,0.35
SHP-1133,1356.76,62.0,16.5,0,0.69,0.64,0.48
SHP-1134,1893.13,58.9,27.5,1,0.09,0.62,0.588
SHP-1135,276.05,56.1,43.2,0,0.66,0.77,0.392
SHP-1136,855.83,15.1,18.1,0,0.76,0.81,0.391
SHP-1137,1531.98,16.2,27.5,1,0.44,0.84,0.56
SHP-1138,286.78,70.1,30.4,0,0.71,0.65,0.377
SHP-1139,76.67,30.6,11.2,0,0.84,0.56,0.312
SHP-1140,1896.77,47.3,7.7,0,0.93,0.64,0.573
SHP-1141,1425.55,31.1,24.1,1,0.24,0.77,0.504
SHP-1142,797.99,66.5,25.4,0,0.86,0.64,0.465
SHP-1143,1590.51,31.0,46.7,1,0.82,0.64,0.761
SHP-1144,632.18,43.1,49.9,1,0.87,0.72,0.624
SHP-1145,994.47,25.3,38.1,1,0.46,0.66,0.562
SHP-1146,417.87,50.8,28.6,0,0.86,0.7,0.409
SHP-1147,670.44,35.1,45.7,1,0.39,0.83,0.495
SHP-1148,1650.46,70.7,24.8,0,0.13,0.97,0.379
SHP-1149,697.39,9.0,42.3,0,0.53,0.72,0.436
SHP-1150,1458.77,30.7,32.7,0,0.07,0.88,0.388
SHP-1151,566.79,45.6,19.9,0,0.08,0.66,0.249
SHP-1152,1365.0,39.4,47.7,1,0.87,0.52,0.766
SHP-1153,183.42,46.2,46.0,0,0.75,0.71,0.42
SHP-1154,241.96,46.4,43.6,1,0.17,0.65,0.415
SHP-1155,106.45,24.7,2.8,0,0.36,0.71,0.157
SHP-1156,526.18,30.8,34.1,0,0.17,0.54,0.341
SHP-1157,1748.14,45.4,12.0,0,0.91,0.57,0.578
SHP-1158,949.24,19.8,12.8,0,0.01,0.89,0.218
SHP-1159,1807.36,49.4,7.9,0,0.44,0.67,0.457
SHP-1160,1195.76,46.7,21.2,1,0.46,0.65,0.526
SHP-1161,1998.78,61.7,5.3,0,0.38,0.68,0.461
SHP-1162,626.95,50.9,1.1,0,0.83,0.69,0.326
SHP-1163,65.79,62.6,38.9,0,0.91,0.87,0.373
SHP-1164,1674.04,65.2,38.8,0,0.61,0.67,0.594
SHP-1165,1291.4,45.5,33.9,0,0.63,0.94,0.467
SHP-1166,1310.36,23.6,22.0,1,0.73,0.54,0.623
SHP-1167,625.47,54.3,8.8,0,0.13,0.76,0.203
SHP-1168,1944.4,39.2,45.7,0,0.26,0.9,0.546
SHP-1169,989.6,58.5,37.3,1,0.8,0.73,0.612
SHP-1170,196.83,54.8,11.3,0,0.68,0.83,0.245
SHP-1171,824.95,61.2,27.9,0,0.79,0.51,0.491
SHP-1172,1096.32,33.8,33.6,1,0.58,0.9,0.535
SHP-1173,1883.57,9.6,11.7,0,0.03,0.93,0.349
SHP-1174,1144.74,66.1,11.1,0,0.06,0.9,0.248
SHP-1175,1823.31,23.2,20.4,0,0.05,0.52,0.461
SHP-1176,1992.06,10.1,11.7,0,0.54,0.69,0.516
SHP-1177,773.47,68.5,34.8,1,0.59,0.86,0.501
SHP-1178,1776.56,47.8,41.7,1,0.94,0.64,0.793
SHP-1179,1396.05,17.2,22.2,0,0.86,0.55,0.56
SHP-1180,1387.08,40.1,48.9,1,0.06,0.64,0.588
SHP-1181,1938.0,68.4,41.2,0,0.66,0.81,0.625
SHP-1182,1214.43,3.5,39.3,0,0.99,0.89,0.559
SHP-1183,450.15,60.1,27.7,0,0.81,0.61,0.418
SHP-1184,1560.02,57.2,29.8,1,0.86,0.57,0.711
SHP-1185,303.48,19.5,8.7,0,0.66,0.51,0.31
SHP-1186,78.98,57.3,11.9,0,0.32,0.59,0.205
SHP-1187,152.18,53.9,26.3,0,0.48,0.88,0.248
SHP-1188,1050.81,9.6,25.2,0,0.73,0.95,0.414
SHP-1189,1334.86,23.1,32.2,0,0.06,0.73,0.395
SHP-1190,833.15,50.0,24.5,1,0.07,0.54,0.429
SHP-1191,1236.18,6.6,13.8,0,0.63,0.77,0.413
SHP-1192,684.11,71.6,26.5,1,0.51,0.71,0.469
SHP-1193,1596.54,10.0,32.7,0,0.43,0.94,0.468
SHP-1194,856.94,59.9,19.9,0,0.73,0.65,0.424
SHP-1195,659.42,19.8,47.7,1,0.07,0.91,0.422
SHP-1196,231.8,8.8,36.9,0,0.56,0.79,0.336
SHP-1197,1145.09,25.1,6.1,0,0.35,0.83,0.3
SHP-1198,1513.05,62.8,36.1,1,0.6,0.67,0.657
SHP-1199,1176.94,16.9,32.8,0,0.85,0.67,0.544
SHP-1200,1134.72,10.0,13.9,0,0.23,0.71,0.33
SHP-1201,1143.88,55.7,31.1,0,0.61,0.82,0.454
SHP-1202,1402.27,4.0,13.7,0,0.76,0.95,0.427
SHP-1203,734.5,14.7,7.2,0,0.66,0.53,0.365
SHP-1204,1494.89,70.0,4.6,0,0.53,0.68,0.413
SHP-1205,934.61,13.0,15.6,0,0.32,0.96,0.275
SHP-1206,1212.64,63.8,7.8,0,0.75,0.52,0.459
SHP-1207,209.08,33.0,21.2,1,0.41,0.61,0.376
SHP-1208,1049.08,26.2,5.5,0,0.68,0.79,0.357
SHP-1209,1077.52,23.6,11.0,0,0.98,0.53,0.496
SHP-1210,448.63,68.2,38.4,1,0.29,0.56,0.467
SHP-1211,1019.9,32.1,6.5,0,0.53,0.61,0.363
SHP-1212,1139.51,48.8,17.7,0,0.4,0.86,0.35
SHP-1213,900.63,34.2,3.9,0,0.31,0.71,0.271
SHP-1214,838.62,46.8,14.5,0,0.41,0.97,0.272
SHP-1215,385.15,68.3,23.0,1,0.09,0.91,0.286
SHP-1216,524.47,43.2,26.2,1,0.87,0.87,0.483
SHP-1217,482.07,56.5,3.8,0,0.63,0.76,0.262
SHP-1218,428.11,56.3,17.6,0,0.96,0.82,0.363
SHP-1219,338.0,9.2,12.8,0,0.17,0.57,0.222
SHP-1220,1530.35,7.3,47.6,1,0.46,0.78,0.656
SHP-1221,1179.96,49.7,44.1,1,0.86,0.81,0.663
SHP-1222,344.37,6.8,22.1,1,0.8,0.79,0.442
SHP-1223,736.29,7.2,23.1,0,0.06,0.91,0.233
SHP-1224,199.63,62.5,42.8,1,0.46,0.77,0.439
SHP-1225,1594.04,64.7,22.5,0,0.32,0.73,0.447
SHP-1226,344.18,6.3,5.2,0,0.9,0.67,0.318
SHP-1227,1442.92,37.3,8.6,0,0.25,0.71,0.359
SHP-1228,906.87,38.6,7.9,0,0.37,0.64,0.314
SHP-1229,847.1,25.7,29.9,1,0.07,0.55,0.451
SHP-1230,1372.84,21.9,36.2,0,0.33,0.79,0.459
SHP-1231,325.79,26.5,48.4,1,0.13,0.85,0.398
SHP-1232,215.2,41.1,32.2,1,0.81,0.83,0.457
SHP-1233,1666.47,53.7,34.3,0,0.65,0.71,0.575
SHP-1234,755.56,27.4,9.0,0,0.21,0.96,0.199
SHP-1235,998.23,17.9,6.9,0,0.08,0.91,0.211
SHP-1236,247.22,56.0,41.8,0,0.66,0.93,0.35
SHP-1237,1255.16,43.8,7.7,0,0.18,0.84,0.287
SHP-1238,1268.24,65.2,36.1,0,0.41,0.83,0.451
SHP-1239,513.18,33.1,14.2,0,0.75,0.72,0.34
SHP-1240,1091.32,23.7,40.4,1,0.9,0.6,0.685
SHP-1241,1372.7,41.9,22.0,1,0.78,0.75,0.6
SHP-1242,866.39,13.3,10.0,0,0.6,0.93,0.304
SHP-1243,151.75,35.6,18.6,0,0.93,0.85,0.313
SHP-1244,1056.02,10.7,4.2,0,0.16,0.72,0.263
SHP-1245,1051.04,60.2,4.6,0,0.91,0.9,0.378
SHP-1246,1775.03,67.1,20.7,1,0.5,0.62,0.625
SHP-1247,1989.32,28.2,1.4,0,0.93,0.91,0.508
SHP-1248,1317.42,57.4,6.9,0,0.29,0.91,0.301
SHP-1249,1407.34,11.7,35.3,1,0.62,0.94,0.588
SHP-1250,87.06,17.1,7.5,0,0.94,0.8,0.271
SHP-1251,875.35,56.3,11.9,0,0.12,0.62,0.279
SHP-1252,1295.96,45.6,3.1,0,0.84,0.74,0.427
SHP-1253,1095.3,46.2,28.8,0,0.29,0.5,0.437
SHP-1254,737.99,41.9,9.4,0,0.67,0.76,0.33
SHP-1255,753.18,68.7,27.2,0,0.39,0.73,0.354
SHP-1256,1289.56,70.7,12.7,0,0.02,0.89,0.27
SHP-1257,722.36,53.3,31.4,1,0.13,0.67,0.426
SHP-1258,710.17,47.0,41.5,1,0.98,0.73,0.623
SHP-1259,405.44,11.4,35.8,1,0.04,0.6,0.392
SHP-1260,1592.66,64.0,15.8,0,0.31,0.7,0.424
SHP-1261,1640.04,35.1,1.8,0,0.65,0.64,0.455
SHP-1262,1731.17,5.3,32.8,1,0.12,0.68,0.579
SHP-1263,1784.5,54.0,44.7,1,0.34,0.59,0.696
SHP-1264,1399.53,27.7,39.9,1,0.8,0.86,0.658
SHP-1265,203.91,44.2,41.1,1,0.32,0.54,0.451
SHP-1266,1338.79,23.5,30.1,1,0.17,0.72,0.511
SHP-1267,921.9,52.9,45.6,1,0.27,0.98,0.479
SHP-1268,1898.41,7.3,31.9,1,0.51,0.87,0.64
SHP-1269,361.97,4.2,42.4,1,0.03,0.53,0.424
SHP-1270,1568.1,27.6,19.1,0,0.57,0.8,0.466
SHP-1271,1374.17,68.4,18.6,0,0.76,0.78,0.477
SHP-1272,1082.45,29.9,32.5,0,0.96,0.51,0.582
SHP-1273,412.79,38.2,45.7,0,0.26,0.63,0.371
SHP-1274,920.23,71.7,14.3,0,0.92,0.74,0.431
SHP-1275,289.14,61.7,22.6,1,1.0,0.9,0.454
SHP-1276,1936.74,71.1,33.4,0,0.55,0.64,0.606
SHP-1277,634.92,13.0,35.5,0,0.79,0.75,0.445
SHP-1278,286.66,16.1,6.9,0,0.79,0.51,0.327
SHP-1279,1130.34,27.8,40.2,0,0.61,0.54,0.544
SHP-1280,653.12,72.0,35.9,1,0.77,0.9,0.516
SHP-1281,193.81,70.1,32.1,1,0.47,0.75,0.401
SHP-1282,300.25,60.0,27.6,0,0.77,0.56,0.397
SHP-1283,1030.58,62.8,41.6,0,0.3,0.58,0.465
SHP-1284,1872.74,17.8,47.4,1,0.85,0.62,0.817
SHP-1285,1288.36,40.6,6.3,0,0.3,0.76,0.326
SHP-1286,1030.02,13.8,47.1,0,0.17,0.81,0.415
SHP-1287,1808.9,25.6,46.2,0,0.83,0.51,0.72
SHP-1288,138.65,46.9,28.8,0,0.77,0.7,0.35
SHP-1289,1296.03,36.9,31.4,1,0.64,0.65,0.618
SHP-1290,527.51,58.5,20.3,1,0.07,0.53,0.368
SHP-1291,907.23,35.9,10.2,0,0.61,0.65,0.369
SHP-1292,1450.81,53.4,43.0,1,0.13,0.68,0.58
SHP-1293,1145.22,24.3,23.3,1,0.45,0.57,0.541
SHP-1294,148.68,68.2,43.2,1,0.25,0.92,0.361
SHP-1295,361.41,24.9,28.9,1,0.19,0.58,0.392
SHP-1296,1992.14,34.7,44.0,1,0.02,0.96,0.587
SHP-1297,1035.62,69.7,10.8,0,0.35,0.52,0.365
SHP-1298,1015.04,63.8,32.7,1,0.29,0.5,0.541
SHP-1299,259.62,11.4,13.2,0,0.37,0.7,0.226
SHP-1300,138.22,5.6,28.1,1,0.55,0.54,0.435
SHP-1301,1033.3,55.5,14.0,0,0.99,0.83,0.443
SHP-1302,281.68,70.3,19.7,0,0.79,0.67,0.345
SHP-1303,1880.95,54.8,10.0,0,0.51,0.75,0.474
SHP-1304,138.34,11.6,16.7,0,0.47,0.72,0.238
SHP-1305,1232.21,38.1,16.4,0,0.61,0.58,0.456
SHP-1306,1981.7,53.8,15.0,0,0.34,0.91,0.443
SHP-1307,1088.06,51.6,15.0,0,0.82,0.68,0.451
SHP-1308,1363.92,70.6,29.2,0,0.6,0.63,0.515
SHP-1309,1328.4,70.0,28.9,0,0.72,0.79,0.501
SHP-1310,382.5,46.0,31.0,1,0.15,0.83,0.345
SHP-1311,111.56,68.4,5.5,0,0.02,0.65,0.113
SHP-1312,345.29,50.3,20.5,1,0.87,0.86,0.436
SHP-1313,171.45,11.7,10.4,0,0.33,0.82,0.169
SHP-1314,1074.68,24.0,8.7,0,0.91,0.67,0.444
SHP-1315,740.86,56.0,36.0,1,0.61,0.59,0.559
SHP-1316,530.71,41.1,11.2,0,0.97,0.65,0.388
SHP-1317,613.56,16.5,35.2,1,0.48,0.77,0.475
SHP-1318,1872.25,52.5,14.4,0,0.57,0.77,0.498
SHP-1319,1796.73,29.6,17.3,0,0.77,0.57,0.579
SHP-1320,132.03,68.9,4.0,0,0.92,0.82,0.256
SHP-1321,1507.31,17.0,41.4,1,0.93,0.84,0.71
SHP-1322,317.68,45.1,29.3,0,0.05,0.94,0.187
SHP-1323,490.06,18.3,5.0,0,0.33,0.73,0.214
SHP-1324,1378.32,11.6,48.2,0,0.41,0.96,0.49
SHP-1325,1762.88,35.4,10.0,0,0.96,0.66,0.564
SHP-1326,1309.5,65.6,4.5,0,0.57,0.76,0.376
SHP-1327,1460.08,67.6,45.7,0,0.42,0.91,0.504
SHP-1328,1871.15,4.5,41.8,1,0.19,0.87,0.612
SHP-1329,1750.97,22.3,1.9,0,0.3,0.8,0.37
SHP-1330,1860.49,25.5,22.7,1,0.89,0.57,0.734
SHP-1331,1033.21,21.1,40.4,1,0.16,0.72,0.505
SHP-1332,551.67,15.0,36.8,1,0.57,0.87,0.47
SHP-1333,392.22,61.9,44.9,1,0.52,0.54,0.534
SHP-1334,1355.05,14.9,7.0,0,0.32,0.62,0.371
SHP-1335,558.53,18.5,37.7,1,0.3,0.85,0.425
SHP-1336,72.3,47.8,34.6,0,0.67,0.73,0.337
SHP-1337,361.45,50.0,46.2,1,0.69,0.81,0.515
SHP-1338,1884.24,27.7,11.0,0,0.96,0.73,0.573
SHP-1339,937.21,71.2,18.7,0,0.7,0.95,0.365
SHP-1340,1526.83,58.1,41.3,0,0.68,0.79,0.572
SHP-1341,1585.37,38.8,26.4,1,0.08,0.78,0.503
SHP-1342,170.43,40.3,25.3,0,0.16,0.92,0.175
SHP-1343,911.59,49.6,35.8,1,0.09,0.75,0.448
SHP-1344,1626.95,33.7,25.7,1,0.56,0.77,0.605
SHP-1345,1361.9,23.6,1.1,0,0.25,0.5,0.359
SHP-1346,474.91,7.1,21.2,0,0.54,0.53,0.358
SHP-1347,1793.73,71.0,23.6,1,0.41,0.88,0.569
SHP-1348,1543.36,70.5,32.3,1,0.37,0.94,0.547
SHP-1349,924.65,66.2,18.9,0,0.08,0.97,0.236
SHP-1350,1755.38,11.3,43.0,0,0.18,0.76,0.519
SHP-1351,1081.24,53.0,11.1,0,0.0,0.51,0.305
SHP-1352,631.81,49.1,27.2,1,0.82,0.62,0.544
SHP-1353,725.01,21.3,46.9,0,0.03,0.82,0.338
SHP-1354,1249.1,67.5,44.5,0,0.21,0.55,0.497
SHP-1355,115.47,43.8,35.2,0,0.24,0.52,0.302
SHP-1356,905.98,39.8,37.7,0,0.14,0.99,0.317
SHP-1357,506.61,66.1,28.8,1,0.24,0.93,0.353
SHP-1358,1972.11,38.5,20.7,1,0.06,0.96,0.499
SHP-1359,1765.44,65.8,31.3,1,0.56,0.52,0.698
SHP-1360,721.61,47.0,19.1,0,0.52,0.84,0.321
SHP-1361,846.11,23.0,9.2,0,0.54,0.62,0.348
SHP-1362,489.42,62.0,7.2,0,0.46,0.53,0.288
SHP-1363,854.72,31.2,26.5,1,0.24,0.6,0.462
SHP-1364,1311.08,66.6,42.4,0,0.54,0.91,0.492
SHP-1365,150.5,28.4,30.2,0,0.87,0.59,0.399
SHP-1366,1535.31,52.7,27.9,1,0.21,0.94,0.496
SHP-1367,641.22,65.6,10.6,0,0.19,0.86,0.205
SHP-1368,1506.41,54.8,45.7,0,0.4,0.62,0.565
SHP-1369,677.15,21.8,23.3,1,0.31,0.68,0.421
SHP-1370,1771.48,34.6,40.1,1,0.76,0.66,0.746
SHP-1371,446.1,23.9,2.3,0,0.86,0.86,0.276
SHP-1372,81.63,40.7,29.2,1,0.3,0.6,0.369
SHP-1373,498.54,41.9,12.3,0,0.55,0.96,0.242
SHP-1374,708.25,55.4,24.4,1,0.46,0.86,0.424
SHP-1375,736.74,11.8,27.3,0,0.92,0.77,0.45
SHP-1376,1301.53,6.1,1.7,0,0.85,0.96,0.38
SHP-1377,1353.02,55.5,20.6,0,0.07,0.57,0.385
SHP-1378,476.5,33.9,3.0,0,0.64,0.96,0.219
SHP-1379,1829.87,48.1,0.8,0,0.53,0.7,0.444
SHP-1380,82.62,52.6,26.8,1,0.02,0.9,0.244
SHP-1381,1364.36,58.4,45.5,0,0.92,0.76,0.619
SHP-1382,519.89,45.4,12.6,0,0.35,0.89,0.22
SHP-1383,204.09,69.2,22.9,0,0.99,0.61,0.398
SHP-1384,1383.88,61.4,32.7,0,0.09,0.69,0.418
SHP-1385,1127.77,5.9,0.5,0,0.17,0.74,0.257
SHP-1386,896.12,56.9,28.3,0,0.89,0.95,0.436
SHP-1387,498.04,65.1,34.6,1,0.27,0.95,0.377
SHP-1388,1384.64,21.6,27.2,0,0.18,0.92,0.368
SHP-1389,80.53,16.5,7.2,0,0.82,0.9,0.225
SHP-1390,1861.31,22.9,28.2,1,0.68,0.76,0.676
SHP-1391,798.5,53.8,39.5,0,0.5,0.98,0.382
SHP-1392,154.71,32.6,41.9,1,0.61,0.8,0.453
SHP-1393,1211.44,69.8,16.3,0,0.63,0.88,0.397
SHP-1394,928.57,18.0,27.7,1,0.43,0.83,0.47
SHP-1395,1338.31,8.0,30.9,0,0.71,0.54,0.558
SHP-1396,350.73,51.8,31.7,1,0.32,0.55,0.433
SHP-1397,60.13,23.6,18.0,0,0.27,0.56,0.223
SHP-1398,415.41,33.4,27.7,1,0.1,0.54,0.385
SHP-1399,1130.73,43.8,39.2,1,0.01,0.7,0.488
SHP-1400,1569.38,52.7,28.0,0,0.57,0.58,0.545
SHP-1401,792.43,11.7,15.1,0,0.49,0.53,0.371
SHP-1402,897.62,31.5,24.2,0,0.36,0.96,0.311
SHP-1403,1455.75,36.7,30.8,1,0.11,0.65,0.534
SHP-1404,1900.21,25.3,31.0,1,0.44,0.71,0.655
SHP-1405,1655.89,47.6,29.7,1,0.32,0.96,0.539
SHP-1406,441.66,24.0,48.2,1,0.29,0.84,0.449
SHP-1407,1007.46,42.3,12.1,0,0.38,0.9,0.296
SHP-1408,816.22,10.0,28.2,0,0.68,0.77,0.417
SHP-1409,1908.36,34.3,35.4,1,0.8,0.91,0.706
SHP-1410,184.86,61.3,39.8,1,0.14,0.65,0.385
SHP-1411,542.73,12.8,21.2,1,0.07,0.99,0.282
SHP-1412,984.51,30.1,25.3,1,0.54,0.89,0.479
SHP-1413,751.08,64.7,26.8,0,0.11,0.62,0.318
SHP-1414,1346.15,13.6,30.6,1,0.97,0.66,0.686
